epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.86045,0.71648,3.01935,1.33543,0.99879,1,0.995,0.95913,0.31562,1.80735,0.84294,8e-05,8e-05,8e-05
2,7.58978,0.67416,2.65103,1.26946,1,1,0.995,0.97178,0.24815,4.33214,0.82913,0.000178218,0.000178218,0.000178218
3,9.50519,0.59694,1.22594,1.19173,0.9,0.9,0.90278,0.87449,0.35143,5.79191,0.96068,0.000274456,0.000274456,0.000274456
4,11.3407,0.54695,0.81946,1.10797,1,0.99655,0.995,0.82519,0.52804,1.506,1.01901,0.000368714,0.000368714,0.000368714
5,13.1677,0.56699,0.71181,1.158,0.97298,1,0.995,0.88052,0.41173,1.37511,0.94701,0.000460992,0.000460992,0.000460992
6,14.9842,0.63317,0.70292,1.13608,0.55498,1,0.90169,0.66124,0.67554,3.46113,1.1324,0.00055129,0.00055129,0.00055129
7,16.8178,0.59996,0.58356,1.10089,0.85714,0.6,0.77452,0.34132,1.51446,7.05532,2.9086,0.000639608,0.000639608,0.000639608
8,18.6186,0.6425,0.64453,1.14409,0.11667,0.7,0.13324,0.04508,2.12256,45.537,4.26065,0.000725946,0.000725946,0.000725946
9,20.4406,0.66779,0.56253,1.14526,0.36842,0.7,0.47846,0.19526,2.4767,15.7638,5.08793,0.000810304,0.000810304,0.000810304
10,22.2432,0.70675,0.55979,1.2043,0.32143,0.9,0.55586,0.28876,1.62557,18.2965,3.21305,0.000892682,0.000892682,0.000892682
11,24.0421,0.6485,0.54856,1.11565,0.83333,1,0.895,0.51763,0.85471,4.95484,2.0113,0.00097308,0.00097308,0.00097308
12,25.838,0.67241,0.58849,1.13827,0.73211,0.9,0.92882,0.60364,1.20851,3.78034,2.19634,0.0010515,0.0010515,0.0010515
